Jim Grayson,asdf@asdf.com,(555)761-2385
Prescilla Winston,qwer@qwer.com,(555)218-3981
Melissa Potter,zcxvz@zcv.com,(555)791-3471
Greg Daytona,asdf@asdg.com,(555)761-2365
Victoria Waterford,qwer@qwer.com,(555)218-3982
Jessica Lang,zc3xvz@zcv.com,(555)791-5334
Adam Sommerfeld,adam@adam.com,314-123-1234
Julia Child,asdf@a2f3232f3a.com,123-123-1234
Jacques Pepin,jacques@jacques.com,123-123-3245
Jessica,asdf@a23f2323.com,514-123-1234
Jack Jaones,123@54343.com,123-123-6324
Joe Smith,joe@joe.com,514-235-2345
James Peard,james@james.com,212-244-2342
